month,L Income,L 2025,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,G Fund,F Fund,U.S. Aggregate Index,C Fund,S&P 500,S Fund,DJ TSM,I Fund,EAFE
May 2014,0.64,,1.46,,1.63,,1.78,,,,0.20,1.21,1.14,2.35,2.35,1.52,1.51,1.72,1.62
April 2014,0.31,,0.37,,0.32,,0.32,,,,0.20,0.90,0.84,0.75,0.74,-2.47,-2.57,1.51,1.45
March 2014,0.19,,0.14,,0.12,,0.09,,,,0.19,-0.15,-0.17,0.85,0.84,-0.69,-0.72,-0.57,-0.64
February 2014,1.15,,3.44,,3.94,,4.44,,,,0.18,0.62,0.53,4.58,4.57,5.43,5.47,5.58,5.56
January 2014,-0.42,,-2.04,,-2.35,,-2.71,,,,0.21,1.58,1.48,-3.45,-3.46,-1.91,-1.81,-4.03,-4.03
December 2013,0.58,,1.56,,1.77,,1.98,,,,0.19,-0.56,-0.57,2.54,2.53,2.94,3.01,1.51,1.50
November 2013,0.58,,1.54,,1.74,,1.93,,,,0.18,-0.35,-0.37,3.05,3.05,2.49,2.40,0.75,0.77
October 2013,1.01,,2.75,,3.11,,3.47,,,,0.19,0.89,0.81,4.60,4.60,2.94,2.90,3.38,3.36
September 2013,1.12,,3.40,,3.90,,4.42,,,,0.19,0.99,0.95,3.14,3.14,5.89,5.87,7.41,7.39
August 2013,-0.39,,-1.60,,-1.87,,-2.11,,,,0.18,-0.48,-0.51,-2.89,-2.90,-2.76,-2.75,-1.31,-1.32
July 2013,1.21,,3.72,,4.29,,4.83,,,,0.18,0.13,0.14,5.10,5.09,6.88,6.79,5.29,5.28
June 2013,-0.30,,-1.20,,-1.40,,-1.59,,,,0.14,-1.53,-1.55,-1.34,-1.34,-0.99,-0.98,-2.77,-3.55
May 2013,0.19,,0.43,,0.51,,0.53,,,,0.12,-1.78,-1.78,2.34,2.34,2.71,2.67,-3.12,-2.41
April 2013,0.67,,1.91,,2.13,,2.41,,,,0.12,1.02,1.01,1.93,1.93,0.65,0.64,5.32,5.21
March 2013,0.73,,2.12,,2.44,,2.71,,,,0.13,0.07,0.08,3.75,3.75,4.69,4.69,0.88,0.82
February 2013,0.27,,0.49,,0.54,,0.56,,,,0.13,0.51,0.50,1.36,1.36,1.00,0.97,-0.99,-0.95
January 2013,1.10,,3.56,,4.11,,4.63,,,,0.13,-0.56,-0.70,5.18,5.18,6.96,6.97,4.45,5.27
December 2012,0.47,,1.48,,1.69,,1.93,,,,0.12,-0.13,-0.14,0.91,0.91,2.69,2.62,4.02,3.20
November 2012,0.34,,0.93,,1.06,,1.19,,,,0.11,0.16,0.16,0.57,0.58,1.53,1.47,2.41,2.42
October 2012,-0.11,,-0.60,,-0.71,,-0.80,,,,0.12,0.20,0.20,-1.86,-1.85,-1.31,-1.32,0.85,0.83
September 2012,0.62,,1.87,,2.12,,2.38,,,,0.10,0.15,0.14,2.57,2.58,2.51,2.45,2.96,2.96
August 2012,0.63,,1.94,,2.23,,2.51,,,,0.11,0.07,0.07,2.25,2.25,3.57,3.45,3.29,2.69
July 2012,0.37,,0.71,,0.75,,0.78,,,,0.12,1.38,1.38,1.40,1.39,-0.62,-0.69,0.56,1.13
June 2012,1.04,,3.32,,3.77,,4.27,,,,0.11,0.05,0.04,4.13,4.12,3.25,3.16,7.08,7.01
May 2012,-1.38,,-5.23,,-6.00,,-6.85,,,,0.14,0.91,0.90,-5.99,-6.01,-6.91,-6.99,-11.40,-11.48
April 2012,0.01,,-0.52,,-0.63,,-0.78,,,,0.15,1.12,1.11,-0.62,-0.63,-0.71,-0.73,-1.87,-1.96
March 2012,0.54,,1.49,,1.68,,1.86,,,,0.14,-0.61,-0.55,3.30,3.29,2.30,2.29,0.13,-0.46
February 2012,0.98,,3.10,,3.54,,3.99,,,,0.12,0.05,-0.02,4.34,4.32,3.99,4.02,5.14,5.74
January 2012,1.18,,3.77,,4.34,,4.87,,,,0.13,0.88,0.88,4.50,4.48,7.59,7.56,5.36,5.33
